Event Data
Swedish Open Skovde 2001
SWEDEN
Dates: 21 Nov - 25 Nov 2001

Year	Event	Player A	Player B	Player X	Player Y	Sub-event	Stage	Round	Result	Games	Winner	Winner
2001	Swedish Open Skovde 2001	HIELSCHER Lars (GER)		GORAK Daniel (POL)		MS	Qualification		4 - 1	11:9 11:8 10:12 11:9 11:5	HIELSCHER Lars	
2001	Swedish Open Skovde 2001	HIELSCHER Lars (GER)		YEO Chansoo (KOR)		MS	Qualification		4 - 0	12:10 11:9 11:6 11:9	HIELSCHER Lars	
2001	Swedish Open Skovde 2001	GORAK Daniel (POL)		YEO Chansoo (KOR)		MS	Qualification		3 - 4	10:12 11:3 8:11 9:11 11:8 11:7 10:12	YEO Chansoo	
2001	Swedish Open Skovde 2001	JINDRAK Karl (AUT)		LEUNG Chu Yan (HKG)		MS	Qualification		1 - 4	11:8 7:11 5:11 8:11 9:11	LEUNG Chu Yan	
2001	Swedish Open Skovde 2001	JINDRAK Karl (AUT)		SKOVSEN Mads (DEN)		MS	Qualification		4 - 0	11:3 11:9 11:7 11:8	JINDRAK Karl	
2001	Swedish Open Skovde 2001	JINDRAK Karl (AUT)		GONZALES Raymond (NOR)		MS	Qualification		4 - 3	9:11 11:9 10:12 17:15 11:6 13:15 14:12	JINDRAK Karl	
2001	Swedish Open Skovde 2001	LEUNG Chu Yan (HKG)		SKOVSEN Mads (DEN)		MS	Qualification		4 - 0	11:6 11:6 11:8 11:6	LEUNG Chu Yan	
2001	Swedish Open Skovde 2001	LEUNG Chu Yan (HKG)		GONZALES Raymond (NOR)		MS	Qualification		4 - 2	11:6 9:11 9:11 11:7 11:7 11:9	LEUNG Chu Yan	
2001	Swedish Open Skovde 2001	SKOVSEN Mads (DEN)		GONZALES Raymond (NOR)		MS	Qualification		3 - 4	11:9 8:11 10:12 11:3 5:11 11:9 9:11	GONZALES Raymond	
2001	Swedish Open Skovde 2001	LUNDQVIST Jens (SWE)		PISTEJ Lubomir (SVK)		MS	Qualification		4 - 2	11:13 13:11 7:11 15:13 11:7 11:4	LUNDQVIST Jens	
2001	Swedish Open Skovde 2001	LUNDQVIST Jens (SWE)		KIM Joosang (KOR)		MS	Qualification		4 - 0	11:9 11:5 11:6 13:11	LUNDQVIST Jens	
2001	Swedish Open Skovde 2001	LUNDQVIST Jens (SWE)		KNUDSEN Morten (DEN)		MS	Qualification		4 - 1	12:10 9:11 11:7 11:9 11:7	LUNDQVIST Jens	
2001	Swedish Open Skovde 2001	PISTEJ Lubomir (SVK)		KIM Joosang (KOR)		MS	Qualification		4 - 0	11:8 11:7 11:9 11:8	PISTEJ Lubomir	
2001	Swedish Open Skovde 2001	PISTEJ Lubomir (SVK)		KNUDSEN Morten (DEN)		MS	Qualification		4 - 1	11:5 10:12 11:5 11:9 11:7	PISTEJ Lubomir	
2001	Swedish Open Skovde 2001	KIM Joosang (KOR)		KNUDSEN Morten (DEN)		MS	Qualification		3 - 4	9:11 5:11 11:2 16:14 3:11 11:3 9:11	KNUDSEN Morten	
2001	Swedish Open Skovde 2001	MONRAD Martin (DEN)		JOVER Sebastien (FRA)		MS	Qualification		4 - 0	11:6 11:9 11:3 11:3	MONRAD Martin	
2001	Swedish Open Skovde 2001	MONRAD Martin (DEN)		WAKINOTANI Katsutoshi (JPN)		MS	Qualification		4 - 2	10:12 9:11 11:6 11:8 11:6 12:10	MONRAD Martin	
